vehicle,category,pool
4336,Fordon,X31K
9001,Fordon,X50
9002,Fordon,X50
9003,Fordon,X50
9004,Fordon,X50
9016,Fordon,X52
9017,Fordon,X52
9032,Fordon,X52
9033,Fordon,X52
9035,Fordon,X52
9037,Fordon,X52
9038,Fordon,X52
9040,Fordon,X52
9041,Fordon,X52
9043,Fordon,X52_3
9044,Fordon,X52_3
9051,Fordon,X52
9052,Fordon,X52
9053,Fordon,X52
9054,Fordon,X52
9055,Fordon,X52
9062,Fordon,X52
9062,Fordon,X52-E
9063,Fordon,X52
9064,Fordon,X52
9065,Fordon,X52
2501,Vagn,UB2X
2502,Vagn,UB2X
2503,Vagn,UB2X
2504,Vagn,UB2X
2506,Vagn,UB2X
2507,Vagn,UB2X
2508,Vagn,UB2X
2509,Vagn,UB2X
2510,Vagn,UB2X
2511,Vagn,UB2X
2512,Vagn,UB2X
2513,Vagn,UB2X
2514,Vagn,UB2X
2515,Vagn,UB2X
2516,Vagn,UB2X
2517,Vagn,UB2X
2518,Vagn,UB2X
2519,Vagn,UB2X
2520,Vagn,UB2X
2521,Vagn,UB2X
2522,Vagn,UB2X
2523,Vagn,UB2XK
2524,Vagn,UB2X
2525,Vagn,UB2X
2526,Vagn,UB2X
2527,Vagn,UB2XK
2528,Vagn,UB2X
2529,Vagn,UB2X
2530,Vagn,UB2X
2531,Vagn,UB2XK
2532,Vagn,UB2X
2533,Vagn,UB2XK
2534,Vagn,UB2XK
2535,Vagn,UB2X
2536,Vagn,UB2X
2537,Vagn,UB2X
2538,Vagn,UB2XK
2539,Vagn,UB2XK
2540,Vagn,UB2XK
2541,Vagn,UB2XK
2542,Vagn,UB2XK
2543,Vagn,UB2XK
2544,Vagn,UB2XK
2601,Vagn,URB2
2602,Vagn,URB2
2603,Vagn,URB2
2604,Vagn,URB2
2605,Vagn,URB2
2606,Vagn,URB2
2607,Vagn,URB2
2608,Vagn,URB2
2609,Vagn,URB2
2610,Vagn,URB2
2611,Vagn,URB2
2612,Vagn,URB2
2613,Vagn,URB2
2614,Vagn,URB2
2615,Vagn,URB2
2616,Vagn,URB2
2617,Vagn,URB2K
2618,Vagn,URB2K
2619,Vagn,URB2K
2620,Vagn,URB2K
2621,Vagn,URB2K
2622,Vagn,URB2K
2623,Vagn,URB2K
2624,Vagn,URB2K
2701,Vagn,UB2
2702,Vagn,UA2
2703,Vagn,UB2
2704,Vagn,UB2
2705,Vagn,UB2
2706,Vagn,UB2
2707,Vagn,UB2
2708,Vagn,UB2
2709,Vagn,UB2
2710,Vagn,UB2
2711,Vagn,UB2
2712,Vagn,UB2
2713,Vagn,UB2
2714,Vagn,UB2
2715,Vagn,UA2
2716,Vagn,UA2
2717,Vagn,UA2
2718,Vagn,UA2
2719,Vagn,UA2K
2720,Vagn,UA2
2721,Vagn,UA2K
2722,Vagn,UA2
2723,Vagn,UA2
2724,Vagn,UA2
2725,Vagn,UA2
2726,Vagn,UA2
2727,Vagn,UA2
2728,Vagn,UA2K
2729,Vagn,UA2
2730,Vagn,UA2
2731,Vagn,UA2
2732,Vagn,UA2
2733,Vagn,UA2
2734,Vagn,UA2
2735,Vagn,UA2
2736,Vagn,UA2
2737,Vagn,UA2
2738,Vagn,UA2
2739,Vagn,UA2K
2740,Vagn,UA2K
2741,Vagn,UA2K
2742,Vagn,UA2K
2743,Vagn,UA2K
2744,Vagn,UA2K
2745,Vagn,UA2K
2746,Vagn,UA2K
2747,Vagn,UA2K
2748,Vagn,UA2K
2749,Vagn,UA2K
2750,Vagn,UA2K
2751,Vagn,UA2K
2752,Vagn,UA2K
2753,Vagn,UA2K
2754,Vagn,UA2K
2801,Vagn,UB2
2802,Vagn,UB2
2803,Vagn,UB2
2804,Vagn,UB2
2805,Vagn,UB2
2806,Vagn,UB2
2807,Vagn,UB2
2808,Vagn,UA2
2809,Vagn,UA2
2810,Vagn,UA2
2811,Vagn,UA2
2812,Vagn,UA2
2813,Vagn,UA2K
2814,Vagn,UA2
2815,Vagn,UA2
2816,Vagn,UA2K
2817,Vagn,UA2
2818,Vagn,UA2
2819,Vagn,UA2
2820,Vagn,UA2
2821,Vagn,UA2
2822,Vagn,UB2
2823,Vagn,UB2
2824,Vagn,UB2
2825,Vagn,UB2
2826,Vagn,UB2
2827,Vagn,UB2
2828,Vagn,UB2
2829,Vagn,UB2
2830,Vagn,UB2
2831,Vagn,UB2
2832,Vagn,UA2K
2833,Vagn,UB2K
2834,Vagn,UB2K
2835,Vagn,UB2K
2836,Vagn,UB2K
2837,Vagn,UB2K
2838,Vagn,UB2
2839,Vagn,UB2
2840,Vagn,UB2
2841,Vagn,UB2
2842,Vagn,UB2
2843,Vagn,UB2
2844,Vagn,UB2
2845,Vagn,UB2
2846,Vagn,UB2
2847,Vagn,UB2
2848,Vagn,UB2
2849,Vagn,UB2
2850,Vagn,UB2
2851,Vagn,UB2
2852,Vagn,UB2K
2853,Vagn,UB2
2854,Vagn,UB2
2855,Vagn,UB2
2856,Vagn,UB2K
2857,Vagn,UB2K
2858,Vagn,UB2
2859,Vagn,UB2K
2860,Vagn,UB2K
2861,Vagn,UB2
2862,Vagn,UB2
2863,Vagn,UB2
2864,Vagn,UB2K
2865,Vagn,UB2K
2866,Vagn,UA2K
2867,Vagn,UA2K
2868,Vagn,UB2K
2869,Vagn,UA2K
2870,Vagn,UB2K
2871,Vagn,UB2K
2872,Vagn,UB2K
2873,Vagn,UB2
2874,Vagn,UB2K
2875,Vagn,UB2K
2876,Vagn,UB2K
2877,Vagn,UB2K
2878,Vagn,UB2K
2879,Vagn,UB2
